Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Sir John Soane's Museum,London,Greater London,Camden,Urban,WC2A 3BP,Museum and/or Art Gallery,133407,123502,28725,33148,117394,152199,Exact,"100,001-200,000",30%,23%,No,Not Applicable
Castle Drogo,South West,Devon,West Devon,Rural,EX6 6PB,Castle / Fort,102588,123168,26211,87301,117459,127893,Exact,"100,001-200,000",9%,4%,Yes,£10.00-£14.99
Trebah Garden,South West,Cornwall,,Coastal,TR11 5JZ,Garden,117840,120298,Not available,92517,83758,100500,Exact,"100,001-200,000",20%,-16%,Yes,£15 or Over
Kenilworth Castle & Elizabethan Garden,West Midlands,Warwickshire,Kenilworth,Urban,,Castle / Fort,110012,119047,65713,103922,119082,118264,Exact,"100,001-200,000",-1%,-1%,Yes,£15 or Over
Sutton Bank National Park Centre,Y&H,North Yorkshire,Ryedale,Rural,YO7 2EH,Heritage / Visitor Centre,118834,118682,129275,129059,133715,134270,Exact,"100,001-200,000",0%,13%,No,Not Applicable
Greenway Garden,South West,Devon,Brixham,Rural,,Garden,111223,116657,46489,78626,96405,100996,Exact,"100,001-200,000",5%,-13%,Yes,Not available
Barrington Court,South West,Somerset,Ilminster,Rural,,Historic House/ House and Garden / Palace,109397,115790,52258,49976,61206,67192,Exact,"50,001-100,000",10%,-42%,Yes,Not available
Portland Basin Museum,North West,Greater Manchester,Tameside,Urban,OL7 0QA,Museum and/or Art Gallery,Not available,114820,25307,22508,87912,108447,Exact,"100,001-200,000",23%,-6%,No,Not Applicable
Hill Top,North West,Cumbria,Ambleside,Rural,,Historic House/ House and Garden / Palace,114784,114663,26938,55512,85015,81795,Exact,"50,001-100,000",-4%,-29%,Yes,Not available
Coleton Fishacre House & Garden,South West,Devon,Dartmouth,Rural,,Garden,109801,114355,47056,80367,100073,104438,Exact,"100,001-200,000",4%,-9%,Yes,Not available
Wightwick Manor (National Trust),West Midlands,West Midlands,Wolverhampton,Urban,,Historic House/ House and Garden / Palace,99528,112501,61853,81333,114935,121405,Exact,"100,001-200,000",6%,8%,Yes,Not available
Croft Castle,West Midlands,Herefordshire,Ross-On-Wye,Rural,,Castle / Fort,109451,112174,Not available,85125,106107,119477,Exact,"100,001-200,000",13%,7%,Yes,£10.00-£14.99
Wandlebury Country Park,East of England,Cambridgeshire,South Cambridgeshire,Rural,CB2 4AE,Country Park,112000,112000,Not available,120000,100000,100000,An Estimate,"50,001-100,000",0%,-11%,No,Not Applicable
Housesteads Roman Fort,North East,Northumberland,Hexham,Rural,,Castle / Fort,109675,111508,41430,63291,87854,81331,Exact,"50,001-100,000",-7%,-27%,Yes,£10.00-£14.99
Newstead Abbey,East Midlands,Nottinghamshire,Gedling,Rural,NG8 2AE,Museum and/or Art Gallery,104188,111273,Not available,151210,144115,155184,Exact,"100,001-200,000",8%,39%,Yes,£10.00-£14.99
National Maritime Museum Cornwall,South West,Cornwall,,Coastal,TR11 3QY,Museum and/or Art Gallery,121592,110386,55209,72598,102546,124423,Exact,"100,001-200,000",21%,13%,Yes,£15 or Over
National Coal Mining Museum for England,Y&H,West Yorkshire,Wakefield,Rural,WF4 4RH,Museum and/or Art Gallery,113963,110361,22404,30661,67605,92647,An Estimate,"50,001-100,000",37%,-16%,Yes,£5.00-£7.49
Hereford Cathedral,West Midlands,Herefordshire,,Urban,HR1 2NG,Place of Worship (still in use),120000,110000,Not available,76845,98038,110185,An Estimate,"100,001-200,000",12%,0%,No,Not Applicable
Knebworth House,East of England,Hertfordshire,North Hertfordshire,Rural,SG3 6PY,Historic House/ House and Garden / Palace,85363,109983,80035,100883,99000,71537,Exact,"50,001-100,000",-28%,-35%,Yes,£15 or Over
Upton House,West Midlands,Warwickshire,Banbury,Rural,,Historic House/ House and Garden / Palace,102873,108115,61244,78321,88034,94243,Exact,"50,001-100,000",7%,-13%,Yes,Not available
Snowshill Manor & Garden (National Trust),South West,Gloucestershire,Worcester,Rural,,Other Historic Property,104675,107831,33947,61129,79638,85107,Exact,"50,001-100,000",7%,-21%,Yes,Not available
Sutton Hoo Anglo-Saxon Burial Mounds,East of England,Suffolk ,Woodbridge,Rural,,Historic Monument / Archaeological Site,83323,107642,64548,123631,141186,154655,Exact,"100,001-200,000",10%,44%,Yes,£15 or Over
Rand Farm Park,East Midlands,Lincolnshire,East Lindsey,Rural,LN8 5NJ,Farm / Rare Breeds / Farm Animals,89281,107573,66582,95329,113675,108533,Exact,"100,001-200,000",-5%,1%,Yes,£10.00-£14.99
Gallery Oldham,North West,Greater Manchester,OLDHAM,Urban,OL1 1AL,Museum and/or Art Gallery,91860,106695,17781,12592,25863,45049,An Estimate,"20,001-50,000",74%,-58%,No,Not Applicable
Batsford Arboretum,South West,Gloucestershire,Cotswold,Rural,GL56 9AT,Garden,94514,106019,92400,126060,116589,115384,Exact,"100,001-200,000",-1%,9%,Yes,£7.50-£9.99
Dudmaston Hall,West Midlands,Shropshire,Bridgnorth,Rural,,Historic House/ House and Garden / Palace,97150,105385,63748,85907,89644,92343,Exact,"50,001-100,000",3%,-12%,Yes,Not available
Brodsworth Hall and Gardens,Y&H,South Yorkshire,Doncaster,Rural,,Historic House/ House and Garden / Palace,87946,103042,58809,93614,100545,100862,Exact,"100,001-200,000",0%,-2%,Yes,£15 or Over
The Ropewalk,East Midlands,Lincolnshire,North Lincolnshire,Rural,DN18 5JT,Museum and/or Art Gallery,102280,101489,33268,53827,90620,93997,An Estimate,"50,001-100,000",4%,-7%,No,Not Applicable
Waterside,North West,Greater Manchester,Trafford,Urban,M33 7ZF,Other,112875,101329,Not available,34313,66020,91674,Exact,"50,001-100,000",39%,-10%,No,Not Applicable
Bolsover Castle,East Midlands,Derbyshire,Chesterfield,Urban,,Castle / Fort,95522,101041,49794,74471,89252,87910,Exact,"50,001-100,000",-2%,-13%,Yes,£15 or Over
South Shields Museum and Art Gallery,North East,Tyne and Wear,South Shields,Coastal,,Museum and/or Art Gallery,106190,99219,5862,35938,82184,85646,Exact,"50,001-100,000",4%,-14%,No,Not Applicable
The Bowes Museum,North East,Durham,Barnard Castle,Rural,DL12 8NP,Museum and/or Art Gallery,82789,98984,34793,55130,77387,77999,Exact,"50,001-100,000",1%,-21%,Yes,£15 or Over
Oxburgh Hall,East of England,Norfolk ,King'S Lynn,Rural,,Historic House/ House and Garden / Palace,91105,98574,44741,57013,85016,104618,Exact,"100,001-200,000",23%,6%,Yes,£10.00-£14.99
Lindisfarne Castle (National Trust),North East,Northumberland,Berwick-Upon-Tweed,Rural,,Castle / Fort,69776,98061,4435,30749,78674,74968,Exact,"50,001-100,000",-5%,-24%,Yes,Not available
Berrington Hall,West Midlands,Herefordshire,Leominster,Rural,,Historic House/ House and Garden / Palace,92275,97963,Not available,72091,87720,90755,Exact,"50,001-100,000",3%,-7%,Yes,Not available
Vindolanda (Chesterholm) Hadrian's Wall,North East,Northumberland,,Rural,NE47 7JN,Historic Monument / Archaeological Site,100450,96577,Not available,Not available,96871,93935,Exact,"50,001-100,000",-3%,-3%,Yes,£10.00-£14.99
Shepreth Wildlife Park and Waterworld,East of England,Cambridgeshire,South Cambridgeshire,Rural,SG8 6PZ,Safari Park / Zoo / Aquarium / Aviary,90244,95470,49750,60568,92370,99500,Exact,"50,001-100,000",8%,4%,Yes,£10.00-£14.99
Blue Reef Aquarium,South West,Cornwall,,Coastal,TR7 1DU,Safari Park / Zoo / Aquarium / Aviary,95329,95339,69990,79119,95066,96943,Exact,"50,001-100,000",2%,2%,Yes,£10.00-£14.99
Framlingham Castle,East of England,Suffolk ,Woodbridge,Rural,,Castle / Fort,93485,94546,38301,72134,84599,80331,Exact,"50,001-100,000",-5%,-15%,Yes,£10.00-£14.99
Brighton Museum & Art Gallery,South East,East Sussex,Brighton,Urban,,Museum and/or Art Gallery,89365,94353,27304,46416,66569,74479,Exact,"50,001-100,000",12%,-21%,Yes,£7.50-£9.99
Royal Armouries Fort Nelson,South East,Hampshire,Fareham,Coastal,,Museum,242020,94174,32540,51444,80013,138421,,"100,001-200,000",73%,47%,No,Not Applicable
Danby Lodge National Park Centre,Y&H,North Yorkshire,Scarborough,Rural,YO62 5BP,Heritage / Visitor Centre,95704,93900,36988,56310,53245,59626,Exact,"50,001-100,000",12%,-37%,No,Not Applicable
WWT Arundel,South East,West Sussex,Arundel,Rural,,Nature Reserve / Wetlands / Wildlife Trips,90896,93680,54178,61163,78064,75499,Exact,"50,001-100,000",-3%,-19%,Yes,£10.00-£14.99
Skipton Castle,Y&H,North Yorkshire,Craven,Urban,BD23 1AW,Castle / Fort,92699,93525,35327,58054,87442,87579,Exact,"50,001-100,000",0%,-6%,Yes,£10.00-£14.99
Seaton Tramway,South West,Devon,East Devon,Coastal,EX12 2NQ,Other Historic / Scenic Transport Operator,85274,91883,36576,91030,92954,87078,Exact,"50,001-100,000",-6%,-5%,Yes,£10.00-£14.99
Fusiliers Museum of Northumberland,North East,Northumberland,,Rural,NE66 1NG,Museum and/or Art Gallery,84216,90912,Not available,58364,88863,99892,Exact,"50,001-100,000",12%,10%,No,Not Applicable
Glendurgan Garden,South West,Cornwall,Falmouth,Coastal,,Garden,85997,90786,38792,72927,90613,84006,Exact,"50,001-100,000",-7%,-7%,Yes,Not available
Arlington Court,South West,Devon,North Devon,Rural,EX31 4LP,Historic House/ House and Garden / Palace,87624,90487,Not available,65591,70788,79773,Exact,"50,001-100,000",13%,-12%,Yes,£10.00-£14.99
Holkham Hall,East of England,Norfolk ,Wells-next- the-Sea,Urban,,Historic House/ House and Garden / Palace,Not available,89738,61954,84687.59124,116022,112785,,"100,001-200,000",-3%,26%,Yes,£15 or Over
World Heritage Site Visitor Centre,North East,Durham,,Urban,DH1 3RW,Heritage / Visitor Centre,91519,88526,10320,8503,37339,50655,Exact,"50,001-100,000",36%,-43%,No,Not Applicable
Osterley Park House,London,Greater London,Isleworth,Rural,,Historic House/ House and Garden / Palace,82151,88148,73738,83038,68429,63805,Exact,"50,001-100,000",-7%,-28%,Yes,£10.00-£14.99
Seacity Museum,South East,Hampshire,Southampton,Urban,SO14 7FY,Museum and/or Art Gallery,90389,87797,21413,29074,96550,140070,Exact,"100,001-200,000",45%,60%,Yes,£10.00-£14.99
Uppark House and Garden,South East,West Sussex,Petersfield,Rural,,Historic House/ House and Garden / Palace,79196,87772,32966,32512,52715,52723,Exact,"50,001-100,000",0%,-40%,Yes,Not available
Moyse's Hall Museum,East of England,Suffolk ,Bury St Edmunds,Urban,,Museum and/or Art Gallery,69953,85999,38489,30458,15138,26171,Exact,"20,001-50,000",73%,-70%,Yes,£5.00-£7.49
WWT Washington,North East,Tyne and Wear,Washington,Rural,,Nature Reserve / Wetlands / Wildlife Trips,73001,83817,50361,49162,65395,61164,Exact,"50,001-100,000",-6%,-27%,Yes,£10.00-£14.99
Newark Park,South West,Gloucestershire,Wotton-Under-Edge,Rural,,Historic House/ House and Garden / Palace,53266,82835,51597,70798,79861,77521,Exact,"50,001-100,000",-3%,-6%,Yes,Not available
The National Archives,London,Greater London,Richmond upon Thames,Urban,TW9 4DU,Museum and/or Art Gallery,72615,82374,22603,20512,66186,76983,Exact,"50,001-100,000",16%,-7%,No,Not Applicable
Pendennis Castle,South West,Cornwall,Falmouth,Coastal,,Castle / Fort,80958,82107,33691,65899,74850,79865,Exact,"50,001-100,000",7%,-3%,Yes,£10.00-£14.99
Canons Ashby,East Midlands,Northamptonshire,Daventry,Rural,,Historic Monument / Archaeological Site,72400,81863,38688,60982,69716,77223,Exact,"50,001-100,000",11%,-6%,Yes,Not available
Cliffe Castle Museum,Y&H,West Yorkshire,Bradford,Urban,BD20 6LH,Museum and/or Art Gallery,82232,80823,15499,23023,57630,67810,Exact,"50,001-100,000",18%,-16%,No,Not Applicable
Clifton Suspension Bridge Visitor Centre,South West,Somerset,North Somerset,Urban,BS8 3PA,Heritage / Visitor Centre,80026,78229,13580,12865,57429,74860,Exact,"50,001-100,000",30%,-4%,No,Not Applicable
Lakeland Motor Museum,North West,Cumbria,South Lakeland,Rural,LA12 8TA,Museum and/or Art Gallery,79471,76997,32452,48494,63814,64527,Exact,"50,001-100,000",1%,-16%,Yes,£10.00-£14.99
Museum of Archaeology and Anthropology,East of England,Cambridgeshire,Cambridge,Urban,CB2 3DZ,Museum and/or Art Gallery,81854,76669,33713,25606,74861,101240,An Estimate,"100,001-200,000",35%,32%,No,Not Applicable
Scarborough Castle,Y&H,North Yorkshire,Scarborough,Coastal,,Castle / Fort,70923,76046,31488,63394,73685,72765,Exact,"50,001-100,000",-1%,-4%,Yes,£7.50-£9.99
Nunnington Hall,Y&H,North Yorkshire,York,Rural,,Historic House/ House and Garden / Palace,70092,76018,22467,50860,65860,75407,Exact,"50,001-100,000",14%,-1%,Yes,Not available
Trerice,South West,Cornwall,Newquay,Rural,,Historic House/ House and Garden / Palace,75909,74991,17096,41996,60549,64497,Exact,"50,001-100,000",7%,-14%,Yes,Not available
Witley Court and Gardens,West Midlands,Worcestershire,Worcester,Rural,,Historic House/ House and Garden / Palace,70848,72606,40097,66663,65527,61625,Exact,"50,001-100,000",-6%,-15%,Yes,£10.00-£14.99
Chelsea Physic Garden,London,Greater London,Kensington and Chelsea,Urban,SW3 4HS,Garden,66914,70914,37965,53314,60635,57960,Exact,"50,001-100,000",-4%,-18%,Yes,£10.00-£14.99
St Edmundsbury Cathedral,East of England,Suffolk,St Edmundsbury,Urban,IP33 1LS,Place of Worship (still in use),64772,70717,29441,41567,76622,73442,An Estimate,"50,001-100,000",-4%,4%,No,Not Applicable
Lytes Cary Manor,South West,Somerset,South Somerset,Rural,TA11 7HU,Historic House/ House and Garden / Palace,59609,70173,20000,54316,70470,77291,Exact,"50,001-100,000",10%,10%,Yes,£10.00-£14.99
St Laurence's Church,West Midlands,Shropshire,,Rural,SY8 1AN,Place of Worship (still in use),70000,70000,14000,41000,65000,62500,An Estimate,"50,001-100,000",-4%,-11%,No,Not Applicable
"Belsay Hall, Castle and Gardens",North East,Northumberland,Newcastle Upon Tyne,Rural,,Historic House/ House and Garden / Palace,64147,69689,40429,60176,65611,82862,Exact,"50,001-100,000",26%,19%,Yes,£10.00-£14.99
Chesters Roman Fort,North East,Northumberland,Hexham,Rural,,Castle / Fort,69130,68905,15353,29854,38833,36573,Exact,"20,001-50,000",-6%,-47%,Yes,£10.00-£14.99
Abbey House Museum,Y&H,West Yorkshire,Leeds,Urban,LS5 3EH,Museum and/or Art Gallery,65182,68697,22742,33420.74074,45118,40027,Exact,"20,001-50,000",-11%,-42%,Yes,£5.00-£7.49
Boston Park Farm,Y&H,South Yorkshire,Doncaster,Rural,DN7 6DS,Farm / Rare Breeds / Farm Animals,64585,68499,43376,66637,74638,82780,Exact,"50,001-100,000",11%,21%,Yes,£5.00-£7.49
Shibden Hall,Y&H,West Yorkshire,Calderdale,Urban,HX3 6XG,Historic House/ House and Garden / Palace,11322,67848,4446,17785,40368,33400,Exact,"20,001-50,000",-17%,-51%,Yes,£7.50-£9.99
Kinver Edge and the Rock Houses (National Trust),West Midlands,Staffordshire,Stourbridge,Rural,,Historic House/ House and Garden / Palace,57567,67606,30849,37234,50518,49373,Exact,"20,001-50,000",-2%,-27%,Yes,Not available
Trengwainton Garden,South West,Cornwall,Penzance,Coastal,,Historic House/ House and Garden / Palace,64339,67037,21358,41307,57310,61582,Exact,"50,001-100,000",7%,-8%,Yes,Not available
Paradise Park,South East,East Sussex,Lewes,Rural,BN9 0DH,Garden,60000,66000,Not available,28000,72000,111070,Exact,"100,001-200,000",54%,68%,Yes,£10.00-£14.99
Whistlestop Valley,Y&H,West Yorkshire,Kirklees,Rural,HD8 9XJ,Steam  / Heritage Railway,57260,65172,29285,66806,68858,51281,Exact,"50,001-100,000",-26%,-21%,Yes,Not available
Little Moreton Hall & Gardens,North West,Cheshire,Congleton,Rural,,Historic House/ House and Garden / Palace,66934,63325,6787,31249,58210,64118,Exact,"50,001-100,000",10%,1%,Yes,Not available
Swanage Museum and Heritage Centre,South West,Dorset,Purbeck,Coastal,BH19 2LJ,Museum and/or Art Gallery,58396,62000,Not available,Not available,60000,70000,An Estimate,"50,001-100,000",17%,13%,No,Not Applicable
Rufford Old Hall,North West,Lancashire,Rufford,Rural,,Historic House/ House and Garden / Palace,60728,61993,4894,26089,46257,52336,Exact,"50,001-100,000",13%,-16%,Yes,Not available
Number One Royal Crescent,South West,Somerset,Bath and North East Somerset,Urban,BA1 2LR,Historic House/ House and Garden / Palace,60791,61981,11576,21078,47486,43154,Exact,"20,001-50,000",-9%,-30%,Yes,£15 or Over
Lindisfarne Priory,North East,Northumberland,Berwick-Upon-Tweed,Coastal,,Historic Monument / Archaeological Site,58996,60403,14248,47786,57981,67748,Exact,"50,001-100,000",17%,12%,Yes,£7.50-£9.99
Moseley Old Hall,West Midlands,Staffordshire,Wolverhampton,Rural,,Historic House/ House and Garden / Palace,58275,59841,20376,38386,46572,55186,Exact,"50,001-100,000",18%,-8%,Yes,Not available
Old Sarum,South West,Wiltshire,Salisbury,Rural,,Historic Monument / Archaeological Site,52549,59330,30061,32021,46057,47712,Exact,"20,001-50,000",4%,-20%,Yes,£7.50-£9.99
Brockhampton Estate,West Midlands,Herefordshire,Bromyard,Rural,,Historic House/ House and Garden / Palace,53885,58871,30419,39071,47781,51718,Exact,"50,001-100,000",8%,-12%,Yes,Not available
Lappa Valley Steam Railway,South West,Cornwall,,Rural,TR8 5LX,Leisure / Theme Park,54250,58714,Not available,Not available,115000,106000,An Estimate,"100,001-200,000",-8%,81%,Yes,£15 or Over
Beeston Castle,North West,Cheshire,Beeston,Rural,,Castle / Fort,52576,58079,39281,46356,52282,44860,Exact,"20,001-50,000",-14%,-23%,Yes,£10.00-£14.99
The Courts Gardens,South West,Wiltshire,Bradford-On-Avon,Rural,,Garden,51088,57366,30164,39934,46475,46383,Exact,"20,001-50,000",0%,-19%,Yes,Not available
The Charles Dickens Museum,London,Greater London,Camden,Urban,WC1N 2LX,Museum and/or Art Gallery,54847,56958,13069,13894,33555,45564,Exact,"20,001-50,000",36%,-20%,Yes,£10.00-£14.99
Warkworth Castle,North East,Northumberland,Warkworth,Coastal,,Castle / Fort,49388,55942,21194,46771,54776,52027,Exact,"50,001-100,000",-5%,-7%,Yes,£7.50-£9.99
A la Ronde,South West,Devon,Exmouth,Rural,,Historic House/ House and Garden / Palace,50787,55696,8686,13485,18698,24386,Exact,"20,001-50,000",30%,-56%,Yes,Not available
Tintagel Old Post Office,South West,Cornwall,Tintagel,Coastal,,Historic House/ House and Garden / Palace,48456,55329,1068,4761,34524,36216,Exact,"20,001-50,000",5%,-35%,Yes,Not available
The Dock Museum,North West,Cumbria,Barrow-in-Furness,Coastal,LA14 2PW,Museum and/or Art Gallery,51463,55223,16390,26353,44788,45291,Exact,"20,001-50,000",1%,-18%,No,Not Applicable
Tattershall Castle,East Midlands,Lincolnshire,Lincoln,Rural,,Castle / Fort,59150,54834,2791,24967,42701,47308,Exact,"20,001-50,000",11%,-14%,Yes,Not available
Bowlees Visitor Centre,North East,Durham,,Rural,DL12 0XF,Heritage / Visitor Centre,49408,53955,26290,63088,41337,42761,An Estimate,"20,001-50,000",3%,-21%,No,Not Applicable
Rievaulx Abbey,Y&H,North Yorkshire,Helmsley,Rural,,Historic Monument / Archaeological Site,52507,53585,21283,42636,51580,48733,Exact,"20,001-50,000",-6%,-9%,Yes,£10.00-£14.99
